index,headline,short_description,Model_Predict
12,"['stay', 'nonprofit', 'board']","['nonprofit', 'director', 'often', 'becom', 'impati', 'slow', 'pace', 'progress', 'toward', 'posit', 'chang', 'action', 'may', 'chang', 'situat']",BUSINESS
13,"['taylor', 'hanson', 'love', 'tulsa']","['rabbl', 'rouser', 'gentleman', 'cowboy', 'businessman', 'artist', 'pragmatist']",STYLE & BEAUTY
15,"['johnni', 'cash', 'boyhood', 'home', 'shape', 'man', 'black']","['listen', 'music', 'easi', 'pictur', 'young', 'johnni', 'cash', 'run', 'around', 'rural', 'southern', 'town', 'caus', 'troubl']",BUSINESS
16,"['differ', 'norm', 'uniqu', 'hotel', 'stay', 'nyc']","['forget', 'chain', 'hotel', 'cooki', 'cutter', 'appoint', 'nyc', 'new', 'excit', 'hotel', 'wait', 'discov', 'nearli', 'everi', 'street', 'corner', 'probabl', 'notic']",TRAVEL
17,"['chanel', 'product', 'would', 'made', 'coco', 'chanel', 'cring']","['perhap', 'garment', 'better', 'use', 'classic', 'logo', 'chanel', 'bottl', 'bag', 'chanel', 'tenni', 'gear', 'chanel', 'weight', 'chanel']",STYLE & BEAUTY
18,"['polit', 'real', 'estat', 'u']","['regardless', 'becom', 'presid', 'composit', 'congress', 'may', 'hard', 'choic', 'continu', 'need', 'made', 'whole', 'rang', 'issu', 'much', 'fund', 'alloc', 'subsid', 'mortgag', 'support', 'afford', 'hous']",BUSINESS
19,"['citi', 'music', 'soul', 'mate']","['tune', 'evolv', 'citi', 'garner', 'reput', 'other', 'preserv', 'music', 'narr']",TRAVEL
20,"['ell', 'fan', 'style', 'evolut', 'prove', 'risk', 'take', 'appropri', 'age', 'photo']","['mind', 'surpris', 'ell', 'good', 'pal', 'muse', 'rodart', 'model', 'marc', 'marc']",STYLE & BEAUTY
21,"['go', 'go', 'buy', 'amaz', 'accessori', 'week']","['matthew', 'mcconaughey', 'sunglass', 'kendal', 'jenner', 'black', 'boot', 'noth', 'glam', 'workout', 'outfit', 'like', 'céline', 'trapez', 'bag']",STYLE & BEAUTY
22,"['eccentr', 'festiv', 'celebr', 'singl', 'food', 'photo']","['food', 'festiv', 'divid', 'two', 'categori', 'showcas', 'broad', 'divers', 'culinari', 'spectrum', 'hone', 'singl', 'ingredi', 'celebr', 'ten']",TRAVEL
23,"['meet', 'caribbean', 'island', 'multipl', 'person']","['enjoy', 'tradit', 'afternoon', 'tea', 'sandi', 'lane', 'countri', 'posh', 'resort', 'also', 'jam', 'local', 'oistin', 'popular', 'street', 'parti', 'fish', 'fri']",TRAVEL
24,"['south', 'korean', 'hike', 'hallasan', 'countri', 'tallest', 'peak', 'middl', 'winter']","['thing', 'get', 'littl', 'intens', 'especi', 'whole', 'villag', 'follow', 'behind', 'hallasan', 'hike', 'start']",TRAVEL
26,"['abba', 'outrag', 'outfit', 'tax', 'avoid', 'scheme']","['apart', 'eyecatch', 'help', 'swedish', 'supergroup', 'exploit', 'swedish', 'law', 'meant', 'cloth', 'tax', 'deduct']",BUSINESS
27,"['dian', 'kruger', 'tone', 'sexi', 'denim', 'vest', 'photo']","['pacif', 'coast', 'news', 'want', 'sure', 'check', 'stylelist', 'twitter', 'facebook', 'tumblr', 'pinterest', 'shop', 'similar', 'look']",STYLE & BEAUTY
28,"['shiatzi', 'chen', 'pari', 'fashion', 'week', 'east', 'meet', 'west', 'le', 'grand', 'hotel']","['surround', 'willowi', 'model', 'abl', 'see', 'tradit', 'influenc', 'collect', 'thought', 'back', 'robe', 'quilt', 'pass', 'grandmoth', 'felt', 'inspir', 'chen', 'modern', 'approach', 'asian', 'fashion']",TRAVEL
29,"['marc', 'jacob', 'garag', 'magazin', 'go', 'make', 'sexier']","['marc', 'jacob', 'fall', 'collect', 'center', 'around', 'old', 'ladi', 'chic', 'look', 'eccentr', 'big', 'coat', 'big', 'hat', 'big', 'hip']",STYLE & BEAUTY
30,"['cape', 'cod', 'best', 'autumn']","['know', 'charm', 'cape', 'cod', 'idyl', 'summer', 'getaway', 'come', 'autumn', 'crowd', 'thin', 'local', 'return', 'beach', 'free', 'fall', 'color', 'reflect', 'gorgeou', 'water', 'much', 'seafood', 'prime']",TRAVEL
31,"['yao', 'xingtong', 'wear', 'shockingli', 'sheer', 'dress', 'toronto', 'film', 'festiv', 'photo']","['premier', 'convers', 'jacki', 'chan', 'yesterday', 'year', 'old', 'opt', 'paper', 'thin', 'white', 'gown']",STYLE & BEAUTY
32,"['trip', 'taken', 'get', 'job']","['employ', 'interest', 'lend', 'three', 'week', 'wander', 'aimlessli', 'explor', 'greater', 'univers', 'find']",BUSINESS
34,"['organiz', 'excel', 'perfect', 'togeth']","['organ', 'work', 'well', 'allow', 'ordinari', 'peopl', 'extraordinari', 'thing', 'power', 'vehicl', 'combin', 'strength', 'way', 'make', 'whole', 'far', 'greater', 'sum', 'part']",BUSINESS
35,"['girl', 'greek', 'island']","['heard', 'small', 'port', 'town', 'agio', 'nikolao', 'northeastern', 'part', 'island', 'becam', 'obsess', 'friend', 'told', 'old', 'school', 'glamour', 'await', 'mino', 'beach', 'art', 'hotel']",TRAVEL
36,"['entir', 'day', 'lax', 'takeoff', 'one', 'epic', 'photo']","['see', 'kelley', 'imag', 'websit', 'want', 'know', 'takeoff', 'lo', 'angel', 'intern', 'airport']",TRAVEL
37,"['christina', 'aguilera', 'style', 'evolut', 'crop', 'top', 'major', 'cleavag', 'photo']","['blast', 'past']",STYLE & BEAUTY
38,"['unit', 'airlin', 'websit', 'loophol', 'grant', 'travel', 'unlimit', 'mile', 'virtual', 'free', 'ticket']","['mani', 'chosen', 'make', 'nois', 'recent', 'verdict', 'via', 'chang', 'org', 'petit', 'address', 'unit', 'ceo', 'jeff', 'smisek', 'titl']",BUSINESS
39,"['convers', 'shoe', 'maestro', 'pierr', 'corthay']","['man', 'claim', 'know', 'everyth', 'shoe', 'know', 'anyth', 'unless', 'familiar', 'pierr', 'corthay', 'man', 'shoe', 'label', 'pierr', 'talk', 'shoe', 'cours', 'men', 'never', 'ever', 'wear']",STYLE & BEAUTY
40,"['mindi', 'kale', 'give', 'us', 'anoth', 'anoth', 'reason', 'obsess', 'vogu', 'month']","['enough', 'excit', 'surround', 'glossi', 'april', 'issu', 'someth', 'els', 'obsess', 'mindi']",STYLE & BEAUTY
41,"['appli', 'credit', 'card']","['recent', 'trend', 'shown', 'american', 'particularli', 'millenni', 'weari', 'use', 'credit', 'card', 'problem', 'larg', 'stem', 'way', 'credit', 'card', 'view', 'today', 'typic', 'perceiv', 'last', 'resort', 'consum', 'afford', 'pay', 'purchas']",BUSINESS
42,"['defens', 'new', 'year', 'resolut']","['listen', 'resolut', 'hater', 'resolut', 'maker', 'forlorn', 'lot', 'appar', 'develop', 'object', 'throughout', 'week', 'cycl', 'rather', 'engag', 'inan', 'exercis', 'make', 'end', 'year', 'time', 'reflect', 'goal', 'set']",BUSINESS
43,"['watch', 'hypnot', 'timelaps', 'albuquerqu', 'balloon', 'festiv']","['coupl', 'week', 'ago', 'albuquerqu', 'new', 'mexico', 'held', 'annual', 'intern', 'balloon', 'fiesta', 'nine', 'day', 'event', 'balloon', 'see', 'liftoff', 'largest', 'hot', 'air', 'balloon', 'festiv', 'entir', 'world', 'hand', 'captur', 'action']",TRAVEL
44,"['jewelri', 'design', 'watch', 'holiday', 'season']","['two', 'design', 'sure', 'make', 'stop', 'girl', 'street', 'find', 'get', 'amaz', 'bling']",STYLE & BEAUTY
45,"['kate', 'middleton', 'princ', 'william', 'like', 'us', 'year', 'play', 'plant', 'paint', 'photo']","['click', 'royal', 'wed', 'anniversari', 'coverag', 'need', 'proof', 'darl', 'royal', 'coupl']",STYLE & BEAUTY
46,"['queen', 'elizabeth', 'ii', 'royal', 'academi', 'art', 'visit', 'best', 'red', 'carpet', 'photo']","['check', 'awesom', 'queen', 'elizabeth', 'royal', 'academi', 'art', 'fete', 'surpris', 'sight', 'howev']",STYLE & BEAUTY
47,"['spend', 'day', 'kyoto']","['said', 'must', 'dig', 'find', 'histor', 'side', 'kyoto', 'layer', 'past', 'nestl', 'among', 'bustl', 'citi', 'street', 'tall', 'modern', 'build', 'felt', 'like', 'way', 'around']",TRAVEL
48,"['go', 'somewher', 'tip', 'everi', 'new', 'flyer']","['time', 'year', 'new', 'set', 'student', 'graduat', 'enter', 'real', 'world', 'travel', 'tend', 'unavoid']",BUSINESS
49,"['next', 'anthoni', 'bourdain', 'joan', 'jetsett']","['q', 'factor', 'natur', 'charisma', 'spring', 'screen', 'authent', 'savvi', 'audienc']",TRAVEL
50,"['rocki', 'road', 'warsaw', 'mani', 'delight']","['hour', 'travel', 'instead', 'expect', 'three', 'final', 'made', 'warsaw', 'next', 'morn', 'refresh', 'final', 'got', 'experi', 'mani', 'delight', 'warsaw']",TRAVEL
51,"['uber', 'lyft', 'ban', 'far', 'right', 'journalist', 'follow', 'islamophob', 'tweet']","['comment', 'laura', 'loomer', 'promis', 'legal', 'action', 'ride', 'share', 'compani']",BUSINESS
53,"['best', 'hotel', 'us', 'reveal']","['brb', 'book', 'trip', 'san', 'antonio', 'immedi']",TRAVEL
54,"['kaley', 'cuoco', 'emmi', 'dress', 'glam', 'surpris', 'photo']","['see', 'rest', 'emmi', 'red', 'carpet', 'photo', 'want', 'sure', 'check', 'huffpost', 'style', 'twitter', 'facebook', 'tumblr']",STYLE & BEAUTY
55,"['find', 'anim', 'love', 'photo']","['ador', 'white', 'face', 'capuchin', 'monkey', 'costa', 'rica', 'deadli', 'lion', 'botswana', 'find', 'see', 'see', 'next', 'exot', 'vacat']",STYLE & BEAUTY
57,"['hunger', 'game', 'makeup', 'tutori', 'utterli', 'ridicul', 'video']","['doubt', 'mani', 'peopl', 'left', 'theater', 'watch', 'hunger', 'game', 'die', 'emul', 'makeup', 'look']",STYLE & BEAUTY
58,"['top', 'day', 'trip', 'excurs', 'near', 'cancun']","['riviera', 'maya', 'often', 'consid', 'inexpens', 'hub', 'seek', 'boozi', 'fun', 'sun', 'grow', 'trend', 'travel', 'opt', 'leav', 'cushi', 'confin', 'inclus', 'resort', 'explor', 'authent', 'enrich', 'uniqu', 'area', 'region']",TRAVEL
59,"['rosi', 'huntington', 'whiteley', 'look', 'cozi', 'furri', 'jacket', 'photo']","['perfect', 'fall', 'look', 'fur', 'sandal']",STYLE & BEAUTY
60,"['american', 'world', 'best', 'tipper', 'accord', 'tripadvisor', 'survey']","['american', 'may', 'world', 'worst', 'tourist', 'accord', 'new', 'survey', 'least', 'reput']",BUSINESS
61,"['make', 'liquid', 'gold', 'tuscani']","['stand', 'end', 'product', 'line', 'clutch', 'thin', 'slice', 'toast', 'bread', 'hand', 'eagerli', 'await', 'new', 'oil']",STYLE & BEAUTY
62,"['trust', 'crowd', 'machin']","['busi', 'environ', 'futur', 'need', 'trust', 'peopl', 'technolog', 'provid', 'flexibl', 'choic', 'employe', 'connect', 'complementari', 'skill', 'across', 'network', 'work', 'togeth', 'challeng', 'learn', 'fast', 'unlock', 'passion', 'improv', 'perform']",BUSINESS
63,"['citi', 'want', 'get', 'sick']","['peopl', 'die', 'unit', 'state', 'year', 'result', 'prevent', 'hospit', 'error', 'despit', 'precaut']",BUSINESS
64,"['chef', 'road', 'trip', 'overnight', 'new', 'orlean', 'photo']","['drive', 'deep', 'south', 'arriv', 'new', 'orlean', 'time', 'halloween', 'french', 'quarter']",TRAVEL
65,"['hottest', 'new', 'bar', 'around', 'world', 'photo']","['vacat', 'without', 'one', 'amaz', 'perhap', 'even', 'epic', 'even', 'world', 'happen', 'new', 'spot']",TRAVEL
66,"['girl', 'get', 'readi', 'girl', 'night']","['give', 'readi', 'leav', 'first', 'need', 'use', 'mirror', 'test', 'danc', 'move', 'integr']",STYLE & BEAUTY
67,"['christi', 'turlington', 'daughter', 'model', 'mom', 'dujour', 'magazin', 'photo']","['want', 'sure', 'check', 'huffpost', 'style', 'twitter', 'facebook', 'tumblr', 'pinterest', 'see', 'model', 'mom', 'turlington']",STYLE & BEAUTY
68,"['winona', 'ryder', 'goth', 'style', 'get', 'photo']","['relat', 'news', 'know', 'short', 'hairstyl', 'winona', 'often', 'mistaken', 'boy', 'back', 'middl', 'school']",STYLE & BEAUTY
69,"['sarah', 'palin', 'glass', 'chang', 'video']","['first', 'time', 'palin', 'switch', 'spectacl', 'wide', 'report', 'join', 'vice', 'presidenti']",BUSINESS
70,"['world', 'friendliest', 'least', 'friendli', 'citi', 'photo']","['know', 'berlin', 'french', 'hard', 'time', 'treat', 'tourist', 'nice', 'rest', 'world']",TRAVEL
71,"['day', 'hemp', 'wear', 'piec', 'wear', 'today', 'photo']","['april', 'upon', 'us', 'day', 'fashion', 'chang', 'talk', 'hemp', 'wear', 'piec']",STYLE & BEAUTY
72,"['show', 'gratitud', 'get', 'want', 'video']","['spent', 'incred', 'even', 'cann', 'film', 'festiv', 'parti', 'fashion', 'show', 'got', 'lot', 'fauxtyp', 'issu', 'come', 'wonder', 'realli', 'ok', 'realli', 'ok', 'live', 'way']",STYLE & BEAUTY
73,"['beauti', 'cheat', 'sheet', 'product', 'make', 'beauti', 'routin', 'easier', 'spring']","['keep', 'sun', 'damag', 'ray', 'away', 'skin', 'mean', 'get', 'bit', 'sun', 'kiss', 'glow']",STYLE & BEAUTY
74,"['barrel', 'oil', 'forev', 'leadership']","['shale', 'oil', 'deposit', 'alreadi', 'access', 'oil', 'industri', 'initi', 'local', 'north', 'dakota', 'rapidli', 'grow', 'oil', 'product', 'result', 'startl', 'econom', 'boom']",BUSINESS
75,"['least', 'satisfi', 'profess', 'wall', 'st']","['work', 'excel', 'predictor', 'health', 'happi', 'stress', 'level', 'recent', 'gallup', 'poll', 'demonstr']",BUSINESS
76,"['weekend', 'getaway', 'american', 'south', 'photo']","['weekend', 'getaway', 'unsung', 'hero', 'vacation', 'everywher', 'give', 'us', 'brief', 'glimps', 'world', 'outsid', 'offic']",TRAVEL
77,"['tax', 'code', 'alter', 'per', 'day', 'averag', 'sinc']","['contact', 'writer', 'articl', 'carolin', 'baum', 'new', 'york', 'cabaum', 'bloomberg', 'net', 'american', 'hire', 'profession']",BUSINESS
78,"['chef', 'bartend', 'vancouv', 'guid']","['find', 'eat', 'drink', 'take', 'trip', 'recommend', 'path', 'find', 'eat', 'drink', 'vancouv', 'follow', 'chef', 'chef', 'bartend', 'see', 'restaur', 'insid', 'pick']",TRAVEL
79,"['billion', 'tourist', 'chang', 'world']","['wherev', 'one', 'billionth', 'tourist', 'arriv', 'part', 'one', 'fastest', 'grow', 'sector', 'world', 'economi', 'amid', 'doom', 'gloom', 'recent', 'year', 'sure', 'reason', 'celebr']",TRAVEL
80,"['process', 'sake', 'process', 'anoth', 'stupid', 'busi', 'trick']","['sure', 'need', 'peopl', 'handl', 'detail', 'make', 'sure', 'workflow', 'process', 'work', 'smoothli', 'problem', 'emerg', 'becom', 'interest', 'process', 'sake', 'rather', 'product', 'tool']",BUSINESS
81,"['essenti', 'tip', 'market', 'digit', 'economi']","['long', 'ago', 'sale', 'need', 'sort', 'human', 'interact', 'even', 'web', 'fact', 'find', 'brand', 'relationship', 'build', 'custom', 'reli', 'internet']",BUSINESS
82,"['open', 'letter', 'lindsay', 'lohan', 'bring', 'back', 'old', 'complet', 'comeback', 'photo']","['hair', 'platinum', 'extens', 'got', 'go', 'age', 'well', 'beyond', 'year', 'ditch', 'get', 'back', 'red', 'even']",STYLE & BEAUTY
83,"['eva', 'longoria', 'wardrob', 'malfunct', 'expos', 'actress', 'lower', 'half', 'cann', 'photo']","['see', 'photo', 'longoria', 'soggi', 'struggl', 'click', 'daili', 'mail', 'anoth', 'photo', 'malfunct']",STYLE & BEAUTY
84,"['belgium', 'extend', 'auster', 'measur', 'billion', 'euro']","['full', 'week', 'talk', 'minist', 'six', 'parti', 'coalit', 'also', 'decid', 'freez', 'million', 'euro']",BUSINESS
85,"['fight', 'back', 'dandruff', 'home', 'remedi']","['drugstor', 'product', 'also', 'expens', 'pay', 'problem', 'never', 'realli', 'goe', 'away', 'instead', 'home', 'remedi', 'use', 'help', 'reduc', 'symptom', 'condit']",BUSINESS
86,"['forb', 'power', 'women', 'list', 'put', 'anna', 'wintour', 'dian', 'von', 'furstenberg', 'angela', 'ahrendt']","['els', 'made', 'forb', 'power', 'women', 'list', 'head', 'forb', 'com', 'see', 'name', 'want', 'sure', 'check']",BUSINESS
87,"['kate', 'middleton', 'repeat', 'tartan', 'coat', 'sandringham', 'christma', 'photo']","['photo', 'want', 'sure', 'check', 'huffpost', 'style', 'twitter', 'facebook', 'tumblr', 'pinterest', 'instagram', 'huffpoststyl']",STYLE & BEAUTY
88,"['queen', 'mathild', 'belgium', 'hat', 'give', 'us', 'paus', 'photo', 'poll']","['fan', 'outfit', 'think', 'look', 'fall', 'flat', 'formal', 'visit', 'belgian', 'citi', 'ghent', 'wednesday']",STYLE & BEAUTY
89,"['mari', 'ellen', 'vernon', 'love', 'boulder']","['alway', 'drawn', 'water', 'coast', 'found', 'surprisingli', 'eas', 'tranquil', 'mountain', 'tree']",TRAVEL
91,"['tip', 'stress', 'free', 'famili', 'summer', 'vacat']","['one', 'mani', 'famili', 'get', 'readi', 'get', 'away', 'summer', 'tip', 'stress', 'free', 'summer', 'vacat']",TRAVEL
92,"['build', 'figur', 'busi', 'travel', 'around', 'world']","['everyday', 'meet', 'someon', 'luxuri', 'run', 'multipl', 'figur', 'onlin', 'busi', 'abl', 'explor', 'world', 'time', 'excit', 'share', 'interview', 'natali', 'sisson', 'best', 'sell', 'author', 'suitcas', 'entrepreneur', 'titl', 'call']",BUSINESS
93,"['savor', 'unexpect', 'pleasur', 'la', 'paz', 'mexico']","['take', 'opportun', 'swim', 'sea', 'lion', 'whale', 'shark', 'wide', 'varieti', 'marin', 'life', 'inhabit', 'sea', 'fun', 'baja', 'also', 'offer', 'combin', 'scuba', 'camp', 'trip', 'scuba', 'certif', 'program', 'everi', 'level', 'diver', 'beginn', 'advanc']",TRAVEL
94,"['hewlett', 'packard', 'lay', 'worker']","['latest', 'huge', 'cull']",BUSINESS
95,"['versac', 'ateli', 'worker', 'reflect', 'glori', 'gianni', 'day', 'video']","['twenti', 'four', 'hour', 'fashion', 'show', 'donatella', 'versac', 'grant', 'repubblica', 'huffington', 'post', 'style', 'section']",STYLE & BEAUTY
96,"['creator', 'regal', 'cinema', 'rollercoast', 'anim', 'die']","['john', 'mclaughlin', 'man', 'behind', 'belov', 'rollercoast', 'voyag', 'regal', 'cinema', 'featur', 'present', 'die']",BUSINESS
97,"['nicola', 'formichetti', 'singapor', 'ladi', 'gaga', 'made', 'creation', 'aliv']","['tomorrow', 'show', 'mugler', 'fall', 'collect', 'said', 'tweak', 'singapor', 'audi', 'fashion', 'festiv', 'highlight', 'mcdowel', 'formichetti', 'convers']",BUSINESS
98,"['happen', 'irrit', 'person', 'medit', 'retreat']","['pranayam', 'consist', 'plug', 'one', 'nostril', 'breath', 'switch', 'plug', 'nostril', 'breath', 'five', 'minut']",BUSINESS
99,"['therano', 'lay', 'hundr', 'worker', 'close', 'well', 'center']","['move', 'impact', 'worker', 'arizona', 'california', 'pennsylvania']",BUSINESS
100,"['abandon', 'theme', 'park', 'berlin', 'total', 'creepi', 'complet', 'awesom']","['still', 'tour', 'take', 'park', 'even', 'though', 'park', 'sale', 'ebay', 'ye', 'read', 'right', 'buyer']",TRAVEL
101,"['fall', 'tv', 'premier', 'make', 'us', 'want', 'travel']","['wonder', 'time', 'year', 'televis', 'lover', 'fall', 'tv', 'premier', 'season', 'final', 'left', 'us', 'edg', 'wonder', 'could', 'make', 'summer', 'futur', 'favorit', 'charact', 'limbo']",STYLE & BEAUTY
103,"['raf', 'simon', 'final', 'jil', 'sander', 'show', 'bring', 'tear', 'stand', 'ovat', 'photo']","['saturday', 'raf', 'simon', 'present', 'final', 'show', 'jil', 'sander', 'brand', 'helm', 'sinc', 'success', 'reviv']",BUSINESS
104,"['gap', 'fall', 'ad', 'featur', 'avett', 'brother', 'icon', 'redefin', 'video']","['never', 'get', 'excit', 'retail', 'ad', 'campaign', 'brought', 'us', 'famou', 'fall', 'gap', 'slogan']",STYLE & BEAUTY
106,"['resum', 'soufflé']","['receiv', 'email', 'gentleman', 'wide', 'regard', 'one', 'world', 'foremost', 'resum', 'expert', 'say', 'diplomat', 'resum', 'realli', 'suck', 'comment', 'sting', 'felt', 'like', 'one', 'victim', 'episod', 'csi']",BUSINESS
107,"['great', 'vike', 'destin', 'around', 'world', 'photo']","['recent', 'discoveri', 'supposedli', 'mythic', 'sunston', 'may', 'help', 'navig', 'northern', 'water']",TRAVEL
109,"['manag', 'consult', 'guid', 'new', 'year', 'resolut']","['pick', 'one', 'resolut', 'new', 'year', 'exercis', 'save', 'money', 'spend', 'time', 'famili', 'list', 'potenti', 'resolut', 'quit', 'overwhelm']",BUSINESS
110,"['man', 'fashion', 'show', 'london', 'includ', 'black', 'face', 'paint', 'driftwood', 'dog', 'photo']","['black', 'face', 'paint', 'driftwood', 'basset', 'hound']",STYLE & BEAUTY
111,"['step', 'creat', 'power', 'content', 'market', 'strategi']","['never', 'histori', 'world', 'play', 'field', 'level', 'compani', 'everywher', 'advent', 'social', 'media', 'blog', 'complet', 'democrat', 'busi', 'world', 'open', 'door', 'even', 'smallest', 'busi']",BUSINESS
112,"['rock', 'band', 'rock', 'hedg', 'fund', 'pill', 'guy', 'bankrol', 'label']","['want', 'attach', 'person']",STYLE & BEAUTY
113,"['percentag', 'women', 'boardroom', 'near', 'mileston', 'long', 'way', 'go']","['women', 'hold', 'nearli', 'percent', 'seat', 'corpor', 'board', 'consid', 'progress']",BUSINESS
114,"['wild', 'thing', 'photo']","['discov', 'acropoli', 'see', 'mona', 'lisa', 'walk', 'great', 'wall', 'watch', 'sunris', 'taj', 'mahal', 'undeni', 'spectacular', 'travel', 'experi', 'yet', 'noth', 'compar', 'encount', 'spellbind', 'magic', 'meet', 'mother', 'natur', 'majest', 'creatur', 'close', 'person']",TRAVEL
115,"['organ', 'labor', 'show', 'sign', 'life']","['sunday', 'member', 'unit', 'steelwork', 'usw', 'walk', 'job', 'nine', 'oil', 'refineri', 'across', 'countri', 'includ', 'two', 'home', 'state', 'california', 'mark', 'first', 'nation', 'oil', 'refineri', 'strike', 'three', 'decad', 'go', 'way', 'back', 'congratul', 'usw', 'strike', 'organ', 'labor', 'final', 'show', 'sign', 'life']",BUSINESS
116,"['new', 'tech', 'tool', 'travel']","['plan', 'trip', 'across', 'india', 'expect', 'shock', 'number', 'way', 'go', 'point', 'point', 'b', 'present', 'four', 'hot', 'compani', 'strive', 'solv', 'problem', 'complic', 'travel', 'rout']",TRAVEL
117,"['thing', 'immedi', 'want', 'small', 'busi', 'surviv', 'hurrican', 'harvey', 'flood']","['accord', 'sba', 'data', 'least', 'small', 'busi', 'reopen', 'folk', 'dream', 'start', 'small', 'busi']",BUSINESS
119,"['trump', 'say', 'charter', 'invest', 'billion', 'u', 'hire', 'worker']","['much', 'announc', 'new']",BUSINESS
120,"['get', 'dress', 'hangov', 'mean', 'get', 'dress']","['get', 'face', 'day', 'coffe', 'happi', 'new', 'year', 'could', 'stay', 'pajama', 'sunglass', 'immens']",TRAVEL
121,"['men', 'workout', 'gear', 'wear', 'land', 'date', 'gym']","['hipster', 'longer', 'excus', 'hit', 'treadmil', 'weekend', 'oh', 'worri', 'ladi']",STYLE & BEAUTY
122,"['angelina', 'joli', 'jewelri', 'collect', 'style', 'joli', 'display', 'franc', 'photo']","['despit', 'oh', 'famou', 'woman', 'world', 'angelina', 'joli', 'like', 'keep', 'low', 'profil', 'mani', 'mag', 'cover']",STYLE & BEAUTY
123,"['gail', 'simmon', 'food', 'tour', 'montreal']","['lux', 'cavern', 'space', 'quiet', 'street', 'old', 'montreal', 'sophist', 'hunt', 'fish', 'lodg', 'menu', 'alway', 'rich', 'satisfi']",TRAVEL
124,"['strategi', 'nasa', 'use', 'market', 'moon']","['peopl', 'look', 'nasa', 'space', 'agenc', 'childhood', 'project', 'natur', 'activ', 'howev', 'nasa', 'probabl', 'one', 'success', 'market', 'agenc', 'centuri', 'childhood', 'evid', 'endur', 'influenc', 'societi']",BUSINESS
125,"['ke', 'ha', 'look', 'almost', 'natur', 'minim', 'style', 'makeup', 'photo', 'poll']","['sure', 'may', 'pick', 'wacki', 'outfit', 'never', 'dream', 'wear', 'come', 'expect', 'unexpect', 'ke', 'ha']",STYLE & BEAUTY
126,"['princess', 'ann', 'welcom', 'olymp', 'athlet', 'bright', 'red', 'sneaker', 'photo']","['let', 'hope', 'sign', 'thing', 'come', 'princess', 'ann', 'succeed', 'blend', 'group']",STYLE & BEAUTY
127,"['visit', 'sacr', 'halawa', 'valley', 'molokai']","['tropic', 'island', 'previous', 'describ', 'exampl', 'old', 'hawaii', 'word', 'hardli', 'molokai', 'justic', 'visit', 'tini', 'island', 'seem', 'aliv', 'hawaiian', 'ancestor', 'legend', 'spirit', 'day', 'long', 'past']",TRAVEL
